------------------------------------------------------------------
--- clusters of operations----------------------------------------
--- name, n problems calculated, avg z-scored u-stat
***SY_SpreadRandomLocal_ac2_100_meanac2,70,-1.91
***[may be easiest?]CO_HistogramAMI_even_2_2,85,-1.86
MF_hmm_08_2_maxP,79,-1.82
MF_hmm_08_2_Pmeandiag,79,-1.81
SP_Summaries_welch_rect_statav5_s,85,-1.77
SP_Summaries_welch_rect_fpolysat_a,85,-1.77
CO_HistogramAMI_even_2_5,85,-1.75
PH_Walker_biasprop_01_05_sw_meanabsdiff,85,-1.74
CO_HistogramAMI_even_2_1,85,-1.71
SY_SpreadRandomLocal_ac2_100_meanac1,77,-1.71
MF_hmm_08_2_stdP,79,-1.71
PH_Walker_runningvar_15_50_w_std,75,-1.70
SP_Summaries_pgram_hamm_fpoly2csS_p2,85,-1.67
CO_HistogramAMI_even_2_4,85,-1.65
SP_Summaries_pgram_hamm_fpoly2_r2,85,-1.65
SP_Summaries_welch_rect_stdlog,85,-1.65
SP_Summaries_welch_rect_std,85,-1.65
SP_Summaries_pgram_hamm_fpoly2csS_p1,85,-1.63
SP_Summaries_welch_rect_fpoly2_sse,85,-1.63
SP_Summaries_welch_rect_fpoly2_rmse,85,-1.63
PH_Walker_prop_01_w_std,85,-1.61
SP_Summaries_welch_rect_statav4_s,85,-1.61
CO_HistogramAMI_even_2_3,85,-1.57
SP_Summaries_welch_rect_statav3_s,85,-1.57
SP_Summaries_welch_rect_statav2_s,85,-1.54
SP_Summaries_pgram_hamm_fpolysat_b,85,-1.51
SY_SlidingWindow_s_s5_10,85,-1.50
SP_Summaries_welch_rect_statav3_m,85,-1.50
SP_Summaries_welch_rect_statav5_m,85,-1.49
DN_CompareKSFit_norm_psx,85,-1.46
SY_SlidingWindow_s_s5_2,85,-1.45
SB_BinaryStats_iqr_stdstretch0,85,-1.42
DN_SimpleFit_exp1_resruns_hsqrt,85,-1.42
DN_CompareKSFit_uni_psx,85,-1.42
SP_Summaries_welch_rect_statav4_m,85,-1.39
DN_SimpleFit_sin2_rmse,85,-1.39
EN_DistributionEntropy_hist_5_0,85,-1.39
SY_SlidingWindow_mom4_sampen10_10,81,-1.38
SP_Summaries_welch_rect_mom5,85,-1.36
SC_FluctAnal_2_dfa_50_1_2_logi_alpha,85,-1.36
SP_Summaries_welch_rect_mom3,85,-1.36
SP_Summaries_welch_rect_fpolysat_rmse,85,-1.36
PH_Walker_momentum_5_w_max,85,-1.33
SY_SlidingWindow_mom4_sampen10_2,77,-1.33
SP_Summaries_welch_rect_statav2_m,85,-1.33
MF_hmm_08_2_stdmeanP,79,-1.32
DN_RemovePoints_absfar_01_mean,85,-1.32
EN_DistributionEntropy_ks_1_0,85,-1.27
DN_Moments_raw_4,85,-1.26
SP_Summaries_welch_rect_mom4,85,-1.26
DN_Moments_4,85,-1.25
DN_OutlierTest2_std,78,-1.24
MF_hmm_07_3_stdP,79,-1.18
MF_hmm_07_3_Pmeandiag,79,-1.16
MF_hmm_07_3_maxP,78,-1.14
EN_wentropy_shannon,85,-1.12
------------------------------------------------------------------
***DN_HistogramMode_10,84,-2.78
CO_Embed2_Basic_tau_incircle_3,85,-2.71
CO_Embed2_Basic_tau_parabdown05_n1,84,-2.68
CO_Embed2_Basic_tau_parabdown05,85,-2.62
CO_AutoCorrShape_drown_ac1,85,-2.53
CO_Embed2_Basic_tau_parabup05,85,-2.39
DN_HistogramMode_20,84,-2.15
CO_Embed2_Basic_tau_downdiag05,85,-2.12
DN_HistogramMode_5,84,-1.81
CO_Embed2_Basic_tau_downdiag01,85,-1.75
CO_Embed2_Shapes_tau_circle_1_mode,85,-1.69
DN_RemovePoints_max_01_ac3rat,80,-1.55
CO_AutoCorrShape_drown_actau,85,-1.51
CO_Embed2_Shapes_tau_circle_1_tau,84,-1.40
DN_CompareKSFit_beta_psx,85,-1.27
CO_Embed2_Shapes_tau_circle_01_mode,82,-1.12
------------------------------------------------------------------
(*)CO_Embed2_Dist_tau_d_expfit_meandiff,85,-3.28
MF_arfit_1_8_sbc_meanA,85,-2.45
FC_LocalSimple_mean2_stderr,85,-2.37
CO_trev_2_denom,85,-2.33
IN_AutoMutualInfoStats_40_gaussian_stdami,83,-2.33
FC_LocalSimple_median3_stderr,85,-2.31
MD_hrv_classic_SD2,84,-2.27
MD_rawHRVmeas_SD2,84,-2.25
[****AS SIMPLE AS IT GETS]SY_StdNthDer_1,85,-2.23
MD_rawHRVmeas_SD1,85,-2.23
IN_AutoMutualInfoStats_40_gaussian_mami,83,-2.23
IN_AutoMutualInfoStats_40_gaussian_ami1,83,-2.22
CO_trev_1_denom,85,-2.21
CO_AddNoise_1_gaussian_fitexpa,85,-2.14
EN_CID_CE2_norm,85,-2.12
MF_arfit_1_8_sbc_fpe_1,85,-2.10
EN_CID_CE2,85,-2.10
SP_Summaries_welch_rect_fpoly2csS_p3,85,-2.08
PH_Walker_momentum_5_sw_meanabsdiff,85,-2.07
SY_PPtest_0_5_ar_t1_minrmse,85,-2.06
SY_PPtest_0_5_ar_t1_minBIC,85,-2.06
SP_Summaries_welch_rect_fpolysat_b,85,-2.05
MF_CompareAR_1_10_all_maxv,85,-2.04
MF_CompareAR_1_10_all_bestaic,85,-2.04
CO_AddNoise_1_gaussian_linfit_mse,85,-2.00
WL_cwt_db3_32_meanabsC,85,-1.95
SY_PPtest_0_5_ar_t1_minstat,85,-1.95
FC_LocalSimple_lfit5_stderr,85,-1.88
SP_Summaries_welch_rect_w_weighted_peak_height,85,-1.86
FC_LocalSimple_lfit5_meanabserr,85,-1.80
PH_Walker_momentum_2_sw_meanabsdiff,85,-1.78
SY_PPtest_0_5_ar_t1_meanstat,85,-1.75
CO_AddNoise_1_gaussian_fitlina,85,-1.74
PP_ModelFit_ar_2_rmserrrat_d1,85,-1.72
WL_cwt_sym2_32_meanabsC,85,-1.72
NL_embed_PCA_1_10_top2,85,-1.71
CO_Embed2_Dist_tau_d_std,85,-1.68
SP_Summaries_welch_rect_w_weighted_peak_prom,85,-1.67
FC_LocalSimple_lfit4_meanabserr,85,-1.65
MF_StateSpace_n4sid_1_05_1_m_aic,84,-1.64
MF_StateSpace_n4sid_1_05_1_m_fpe,84,-1.64
MF_steps_ahead_ar_2_6_meandiffrms,82,-1.61
MF_armax_1_1_05_1_fpe,85,-1.59
MF_armax_1_1_05_1_aic,85,-1.58
CO_AddNoise_1_gaussian_fitlinb,85,-1.58
NL_embed_PCA_1_10_perc_3,85,-1.58
FC_LocalSimple_lfit4_stderr,85,-1.58
MF_armax_1_1_05_1_maxda,85,-1.57
CO_Embed2_Dist_tau_d_max,85,-1.56
SY_PPtest_0_5_ar_t1_maxstat,85,-1.55
FC_LocalSimple_lfit2_meanabserr,85,-1.49
MF_steps_ahead_ar_2_6_maxdiffrms,82,-1.47
MF_StateSpace_n4sid_1_05_1_A_1,84,-1.44
MF_steps_ahead_arma_3_1_6_meandiffrms,85,-1.42
FC_LocalSimple_lfit3_meanabserr,85,-1.40
MF_CompareAR_1_10_all_meanv,85,-1.37
SC_FluctAnal_2_dfa_50_2_logi_linfitint,85,-1.35
FC_LocalSimple_lfit3_stderr,85,-1.33
SY_PPtest_0_5_ar_t1_meanpValue,81,-1.33
MF_AR_arcov_5_var,85,-1.25
MF_arfit_1_8_sbc_fpe_6,85,-1.20
EN_SampEn_5_02_diff1_sampen0,82,-1.19
SY_StdNthDer_2,85,-1.19
MF_ARMA_orders_1_6_1_4_aic_min,85,-1.18
FC_LocalSimple_lfittau_ac1,85,-1.16
MF_arfit_1_8_sbc_fpe_8,85,-1.16
MF_AR_arcov_4_var,85,-1.12
MF_CompareAR_1_10_all_medianv,85,-1.12
MF_arfit_1_8_sbc_minfpe,85,-1.10
MF_StateSpaceCompOrder_8_minaic,82,-1.08
MF_arfit_1_8_sbc_fpe_4,85,-1.06
MF_AR_arcov_2_var,85,-1.04
MF_arfit_1_8_sbc_fpe_5,85,-1.04
MF_StateSpaceCompOrder_8_minlossfn,82,-0.97
------------------------------------------------------------------
[***]FC_LocalSimple_mean4_stderr,85,-2.51
FC_LocalSimple_mean3_stderr,85,-2.47
FC_LocalSimple_median7_stderr,85,-2.37
NL_embed_PCA_1_10_perc_1,85,-2.35
[*** EASIER:]CO_trev_3_denom,85,-2.35
NL_embed_PCA_1_10_std,85,-2.32
NL_embed_PCA_1_10_range,85,-2.31
IN_AutoMutualInfoStats_40_gaussian_ami3,83,-2.30
FC_LocalSimple_mean4_meanabserr,85,-2.29
MF_StateSpace_n4sid_2_05_1_A_3,79,-2.29
PH_Walker_momentum_2_w_std,85,-2.28
FC_LocalSimple_median5_stderr,85,-2.23
FC_LocalSimple_mean2_meanabserr,85,-2.18
FC_LocalSimple_mean1_meanabserr,85,-2.13
CO_glscf_1_1_3,82,-2.13
IN_AutoMutualInfoStats_40_gaussian_ami2,83,-2.12
CO_Embed2_Dist_tau_d_mean,85,-2.10
IN_AutoMutualInfoStats_40_gaussian_ami8,83,-2.09
CO_Embed2_Dist_tau_d_expfit_nlogL,85,-2.08
PH_Walker_prop_11_sw_meanabsdiff,85,-2.07
IN_AutoMutualInfoStats_40_gaussian_ami4,83,-2.04
FC_LocalSimple_median5_meanabserr,85,-2.03
PH_Walker_momentum_5_w_std,85,-2.03
PH_Walker_prop_05_sw_meanabsdiff,85,-2.02
IN_AutoMutualInfoStats_40_gaussian_ami6,83,-2.02
FC_LocalSimple_median7_meanabserr,85,-2.01
IN_AutoMutualInfoStats_40_gaussian_ami5,83,-2.01
FC_LocalSimple_median3_meanabserr,85,-1.99
[***Simpler, and similar:]AC_9,85,-1.99
PH_Walker_prop_09_sw_meanabsdiff,85,-1.98
SC_FluctAnal_2_rsrange_50_logi_linfitint,85,-1.98
FC_LocalSimple_mean3_meanabserr,85,-1.98
IN_AutoMutualInfoStats_40_gaussian_ami9,83,-1.97
NL_embed_PCA_1_10_perc_2,85,-1.97
SP_Summaries_welch_rect_fpoly2csS_p1,85,-1.96
SC_FluctAnal_2_rsrangefit_50_1_logi_linfitint,85,-1.95
SP_Summaries_welch_rect_fpoly2_r2,85,-1.95
SP_Summaries_welch_rect_fpoly2csS_p2,85,-1.93
AC_7,85,-1.92
IN_AutoMutualInfoStats_40_gaussian_ami7,83,-1.91
CO_glscf_1_1_2,82,-1.91
AC_8,85,-1.90
CO_glscf_1_1_4,82,-1.89
IN_AutoMutualInfoStats_40_gaussian_amiac1,83,-1.87
SC_FluctAnal_2_dfa_50_1_logi_linfitint,85,-1.86
CO_glscf_2_2_5,82,-1.86
SP_Summaries_pgram_hamm_w_weighted_peak_height,85,-1.85
CO_glscf_1_2_5,82,-1.82
CP_ML_StepDetect_l1pwc_10_rmsoff,85,-1.82
AC_10,85,-1.81
CO_glscf_2_2_4,82,-1.81
CO_glscf_2_2_3,82,-1.80
SC_FluctAnal_2_dfa_50_1_logi_alpha,85,-1.80
CO_StickAngles_y_std,85,-1.79
CO_glscf_1_1_5,82,-1.77
MF_StateSpace_n4sid_2_05_1_c_2,79,-1.76
MF_StateSpace_n4sid_3_05_1_c_2,81,-1.76
AC_6,85,-1.74
PH_Walker_prop_01_sw_meanabsdiff,85,-1.73
AC_5,85,-1.72
CO_glscf_1_1_1,84,-1.72
AC_15,85,-1.72
CO_glscf_1_2_4,82,-1.71
AC_17,85,-1.69
IN_AutoMutualInfoStats_40_gaussian_ami10,83,-1.69
CO_glscf_1_2_3,82,-1.68
CO_AddNoise_1_gaussian_ac2,85,-1.67
AC_4,85,-1.67
ApEn1_02,85,-1.66
PH_Walker_runningvar_15_50_w_ac2,75,-1.66
PH_Walker_momentum_2_w_ac2,85,-1.65
AC_16,85,-1.65
MF_CompareAR_1_10_all_meandiff,85,-1.65
MF_StateSpace_n4sid_3_05_1_A_4,81,-1.64
PH_Walker_prop_05_w_ac2,85,-1.64
SP_Summaries_pgram_hamm_w_weighted_peak_prom,85,-1.63
SC_FluctAnal_2_rsrange_50_logi_alpha,85,-1.63
CO_glscf_2_2_2,82,-1.63
AC_2,85,-1.62
IN_AutoMutualInfoStats_40_gaussian_ami11,83,-1.61
FC_LocalSimple_meantau_ac2,85,-1.61
AC_13,85,-1.61
SY_SlidingWindow_m_sampen10_10,85,-1.61
PH_Walker_prop_01_res_ac1,85,-1.60
AC_11,85,-1.60
CO_HistogramAMI_even_5_4,85,-1.60
MF_CompareAR_1_10_all_maxdiff,85,-1.59
AC_14,85,-1.59
WL_cwt_db3_32_medianabsC,85,-1.58
PH_Walker_runningvar_15_50_w_ac1,75,-1.56
CO_StickAngles_y_std_p,82,-1.56
MF_AR_arcov_1_res_std,85,-1.55
AC_3,85,-1.55
SC_FluctAnal_2_rsrangefit_50_1_logi_alpha,85,-1.54
MF_CompareAR_1_10_all_stddiff,85,-1.54
IN_AutoMutualInfoStats_40_gaussian_ami12,83,-1.53
CO_HistogramAMI_even_5_2,85,-1.52
CO_Embed2_Dist_tau_d_cv,85,-1.50
SY_LocalGlobal_AC1_unicg50,79,-1.46
CO_glscf_1_2_2,82,-1.46
CP_ML_StepDetect_l1pwc_10_E,85,-1.46
PH_Walker_momentum_5_w_ac2,85,-1.44
WL_cwt_sym2_32_medianabsC,85,-1.44
AC_12,85,-1.43
MF_CompareAR_1_10_05_bestaic,85,-1.43
SY_SlidingWindow_s_s10_10,85,-1.43
CO_StickAngles_y_std_n,83,-1.42
AC_18,85,-1.42
SY_SpreadRandomLocal_50_100_meanstd,84,-1.41
PH_Walker_prop_11_w_ac2,85,-1.41
PH_Walker_prop_09_w_ac2,85,-1.41
CO_Embed2_tau_meanspana,85,-1.41
WL_cwt_sym2_32_gam2,85,-1.40
WL_cwt_sym2_32_gam1,85,-1.40
CO_HistogramAMI_even_5_3,85,-1.40
RM_ami_2,81,-1.39
CO_HistogramAMI_even_5_5,85,-1.38
CO_AddNoise_1_gaussian_ac1,85,-1.37
CO_HistogramAMI_std2_5_3,85,-1.34
CO_HistogramAMI_even_5_1,85,-1.34
IN_AutoMutualInfoStats_40_gaussian_ami13,82,-1.31
SY_Trend_stdYC,85,-1.31
SY_SlidingWindow_s_s10_2,85,-1.30
FC_LocalSimple_meantau_ac1,85,-1.30
ST_LocalExtrema_n25_meanmax,84,-1.26
PH_Walker_prop_09_w_ac1,85,-1.25
AC_1,85,-1.24
NL_MS_nlpe_3_ac_meanabs,83,-1.17
PH_Walker_prop_11_w_std,85,-1.14
------------------------------------------------------------------
[***CHECK ALEKS]SB_MotifTwo_mean_hhh,85,-2.13
CO_fzcglscf_1_1,82,-2.06
SB_BinaryStats_mean_meanstretchdiff,85,-2.03
SB_BinaryStats_mean_meanstretch0,85,-2.02
SB_MotifTwo_mean_hhhh,85,-2.01
CO_fzcglscf_2_2,80,-2.01
CO_fzcglscf_1_2,81,-1.91
SB_BinaryStats_mean_meanstretch1,85,-1.90
SB_MotifTwo_mean_hh,85,-1.83
SY_DriftingMean50_mean,72,-1.75
CO_HistogramAMI_std1_2_4,85,-1.74
CO_HistogramAMI_std2_2_3,85,-1.74
CO_HistogramAMI_std1_2_1,85,-1.72
FC_Surprise_dist_20_tau_m2quad_500_tstat,81,-1.72
CO_HistogramAMI_std1_2_3,85,-1.63
CO_HistogramAMI_std2_2_2,85,-1.63
CO_HistogramAMI_std2_2_1,85,-1.61
CO_HistogramAMI_std2_2_4,85,-1.60
FC_Surprise_dist_20_tau_m2quad_500_std,85,-1.60
DN_OutlierInclude_n_001_mdrmd,82,-1.59
CO_HistogramAMI_std1_2_2,85,-1.58
FC_Surprise_dist_20_tau_m2quad_500_mean,85,-1.57
CO_HistogramAMI_std1_2_5,85,-1.56
FC_Surprise_dist_10_tau_m2quad_500_std,85,-1.54
FC_Surprise_dist_10_tau_m2quad_500_mean,85,-1.50
CO_HistogramAMI_std2_2_5,85,-1.49
SB_BinaryStats_mean_longstretch1,85,-1.43
SB_BinaryStats_mean_stdstretchdiff,85,-1.43
FC_Surprise_dist_10_tau_m2quad_500_tstat,81,-1.41
SB_BinaryStats_mean_longstretch0,85,-1.36
FC_Surprise_dist_50_3_q_500_mean,84,-1.35
CO_Embed2_Shapes_tau_circle_1_mean,85,-1.30
EN_PermEn_3_ac_normPermEn,83,-1.29
DN_OutlierInclude_n_001_mrmd,82,-1.29
FC_Surprise_T1_50_3_q_500_mean,84,-1.26
FC_Surprise_dist_5_tau_m2quad_500_mean,85,-1.22
FC_Surprise_dist_5_tau_m2quad_500_tstat,78,-1.21
FC_Surprise_dist_5_tau_m2quad_500_std,85,-1.19
SB_BinaryStats_mean_stdstretch1,85,-1.17
CO_Embed2_Shapes_tau_circle_1_median,85,-1.16
FC_Surprise_dist_5_1_m2quad_500_tstat,75,-0.88
------------------------------------------------------------------
[***Check hctsa for C code -- only need to compute SampEn1]EN_SampEn_5_03_sampen1,85,-1.82
EN_SampEn_5_02_sampen1,85,-1.71
EN_SampEn_5_03_sampen4,81,-1.56
EN_SampEn_5_02_sampen2,85,-1.52
EN_SampEn_5_01_diff1_sampen3,75,-1.50
ApEn1_01,85,-1.46
SB_TransitionMatrix_41_ondiag,84,-1.44
EN_SampEn_5_015_sampen1,85,-1.43
EN_SampEn_5_01_sampen1,85,-1.40
EN_SampEn_5_03_sampen2,85,-1.40
SB_TransitionpAlphabet_40_1_meandiagfexp_b,85,-1.37
EN_SampEn_5_03_sampen3,84,-1.35
EN_SampEn_5_01_diff1_sampen2,82,-1.30
SB_BinaryStats_iqr_meanstretch0,84,-1.29
EN_SampEn_5_01_diff1_sampen5,68,-1.28
CO_Embed2_Dist_tau_d_median,85,-1.28
EN_SampEn_5_01_diff1_sampen0,84,-1.25
NL_MS_fnn_1_10_mi_5_1_pfnn_2,78,-1.24
SB_TransitionMatrix_51_ondiag,85,-1.21
SB_TransitionMatrix_31_ondiag,85,-1.15
PH_Walker_prop_09_sw_propcross,84,-1.09
PH_Walker_prop_01_sw_taudiff,85,-1.05
EN_SampEn_5_01_diff1_sampen4,70,-1.04
------------------------------------------------------------------
FC_LocalSimple_mean1_tauresrat,85,-3.01
FC_LocalSimple_mean2_tauresrat,85,-3.00
FC_LocalSimple_lfit4_tauresrat,85,-2.93
FC_LocalSimple_mean3_tauresrat,85,-2.93
FC_LocalSimple_lfit5_tauresrat,85,-2.87
FC_LocalSimple_median3_tauresrat,85,-2.82
FC_LocalSimple_lfit2_tauresrat,85,-2.81
FC_LocalSimple_mean4_tauresrat,85,-2.81
DN_RemovePoints_min_05_fzcacrat,85,-2.74
FC_LocalSimple_median7_tauresrat,85,-2.70
FC_LocalSimple_lfit3_tauresrat,85,-2.68
FC_LocalSimple_lfittau_tauresrat,85,-2.66
FC_LocalSimple_meantau_tauresrat,85,-2.60
[***]first_min_acf,85,-2.59
DN_RemovePoints_min_08_fzcacrat,85,-2.54
FC_LocalSimple_median5_tauresrat,85,-2.46
DN_RemovePoints_absclose_08_fzcacrat,85,-2.44
PH_Walker_prop_09_w_tau,85,-2.34
DN_RemovePoints_max_08_fzcacrat,85,-2.29
SB_MotifThree_quantile_hhh,85,-2.29
SB_TransitionMatrix_41_maxeigcov,84,-2.25
SB_TransitionMatrix_31_sumdiagcov,85,-2.24
PH_Walker_prop_11_w_tau,85,-2.22
SB_TransitionMatrix_41_stdeigcov,84,-2.20
DN_RemovePoints_min_01_fzcacrat,85,-2.20
first_zero_ac,85,-2.19
SB_TransitionMatrix_51_maxeigcov,85,-2.18
PH_Walker_momentum_2_w_tau,85,-2.17
SB_MotifThree_quantile_hh,85,-2.16
DN_RemovePoints_absclose_05_fzcacrat,85,-2.14
SB_TransitionMatrix_41_sumdiagcov,84,-2.09
PH_Walker_momentum_5_w_tau,84,-2.07
CO_Embed2_Basic_tau_parabup01_1,85,-2.04
PH_Walker_prop_05_w_tau,85,-2.04
CO_AutoCorrShape_drown_Nac,84,-2.03
DN_RemovePoints_absfar_08_fzcacrat,85,-2.01
SB_TransitionMatrix_41_maxeig,84,-2.00
CO_HistogramAMI_quantiles_5_1,81,-2.00
PH_Walker_prop_01_w_tau,85,-2.00
firstMin_mi-gaussian,80,-1.99
PH_Walker_biasprop_05_01_w_tau,85,-1.98
SB_MotifThree_quantile_hhhh,85,-1.98
SB_TransitionMatrix_51_stdeigcov,85,-1.97
SB_TransitionMatrix_51_maxeig,85,-1.93
SB_TransitionpAlphabet_20_ac_trcov_jump,85,-1.92
SB_TransitionMatrix_51_sumdiagcov,85,-1.89
SB_TransitionMatrix_41_mineig,84,-1.89
SB_TransitionMatrix_31_mineig,85,-1.88
FC_LocalSimple_meantau_taures,84,-1.88
PH_Walker_runningvar_15_50_w_tau,83,-1.87
CO_Embed2_Basic_tau_parabdown01_n1,83,-1.87
SB_TransitionMatrix_31_stdeig,85,-1.80
SB_TransitionMatrix_51_mineig,85,-1.77
SB_TransitionMatrix_41_stdeig,84,-1.76
PH_Walker_biasprop_01_05_w_tau,84,-1.76
SB_TransitionpAlphabet_40_1_trcov_jump,85,-1.70
first_1e_ac,83,-1.68
SB_TransitionMatrix_31_maxeig,85,-1.60
CO_HistogramAMI_quantiles_5_2,81,-1.53
SB_TransitionMatrix_51_stdeig,85,-1.50
DN_RemovePoints_absclose_01_fzcacrat,85,-1.49
CO_HistogramAMI_quantiles_5_5,81,-1.31
CO_HistogramAMI_quantiles_5_4,81,-1.29
CO_HistogramAMI_quantiles_10_1,78,-1.27
SB_TransitionpAlphabet_20_ac_maxdiagfexp_b,85,-1.27
SB_TransitionpAlphabet_20_ac_maxdiagfexp_a,85,-1.25
CO_HistogramAMI_quantiles_5_3,81,-1.24
EX_MovingThreshold_01_01_meankickf,85,-1.23
------------------------------------------------------------------
[***]DN_OutlierInclude_abs_001_mdrmd,84,-1.41
DN_OutlierInclude_p_001_mdrmd,79,-1.34
------------------------------------------------------------------
PH_ForcePotential_sine_1_1_1_median,85,-1.96
PH_ForcePotential_sine_3_05_1_median,85,-1.45
PH_ForcePotential_sine_1_1_1_mean,85,-1.41
[***SUPER-SIMPLE-ONE-LINE]CO_trev_1_num,85,-1.31
CO_trev_2_num,85,-1.25
CO_trev_ac_num,85,-1.22
CO_trev_3_raw,85,-1.19
PH_ForcePotential_sine_3_05_1_mean,85,-1.18
------------------------------------------------------------------
[***]FC_LocalSimple_lfittau_taures,85,-1.54
SP_Summaries_pgram_hamm_wmax_90,83,-1.45
SP_Summaries_pgram_hamm_wmax_95,84,-1.41
SP_Summaries_welch_rect_wmax_75,83,-1.28
SP_Summaries_pgram_hamm_wmax_75,80,-1.26
SP_Summaries_welch_rect_w25_75,83,-1.13
SP_Summaries_pgram_hamm_w10_90,83,-1.01
------------------------------------------------------------------
PH_Walker_prop_01_sw_propcross,84,-1.37
[***A little more nuanced]SY_SpreadRandomLocal_50_100_meantaul,84,-1.32
PH_Walker_prop_05_w_propzcross,77,-0.37
------------------------------------------------------------------
[relatively involved]
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,83,-0.85
SC_FluctAnal_2_rsrangefit_50_1_logi_logtausplit,83,-0.83
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,82,-0.65
SC_FluctAnal_2_range_50_logi_prop_r1,82,-0.51
SC_FluctAnal_2_range_50_logi_logtausplit,82,-0.49
SC_FluctAnal_2_endptdiff_50_logi_logtausplit,81,-0.37
SC_FluctAnal_2_endptdiff_50_logi_prop_r1,82,-0.32
------------------------------------------------------------------
[not simple -- don't know if it's necessary]
PH_ForcePotential_sine_1_1_1_proppos,83,-1.44
------------------------------------------------------------------
[requires FFT -- don't know if it's necessary]
SP_Summaries_pgram_hamm_maxw,77,-1.59
SP_Summaries_welch_rect_centroid,79,-1.25
SP_Summaries_pgram_hamm_centroid,79,-0.86
------------------------------------------------------------------
[requires FFT -- don't know if it's necessary]
SP_Summaries_welch_rect_maxw,74,-0.65
------------------------------------------------------------------
